Date,Price,Open,High,Low,Vol.,Change %
12/5/2022,73.84,74.52,75.15,73.69,18.75M,-1.52%
12/2/2022,74.98,75.05,76.28,73.65,64.38M,-3.23%
12/1/2022,77.48,78.31,79.23,76.44,59.83M,-0.19%
11/30/2022,77.63,73.38,77.7,72.81,88.47M,5.78%
11/29/2022,73.39,73.62,74.49,72.78,51.85M,0.27%
11/28/2022,73.19,73.81,75.47,72.57,45.45M,-2.60%
11/25/2022,75.14,75.67,76.04,74.75,26.02M,-1.65%
11/23/2022,76.4,75.49,78.22,75.3,81.62M,1.53%
11/22/2022,75.25,72.72,75.33,72.11,55.45M,3.85%
11/21/2022,72.46,72.21,72.98,71.57,51.54M,-1.51%
11/18/2022,73.57,75.07,75.35,72.18,73.22M,-0.45%
11/17/2022,73.9,70.56,74.38,70.16,82.32M,1.65%
11/16/2022,72.7,73.65,74.83,71.93,79.97M,-4.81%
11/15/2022,76.37,77.26,79.16,75.39,108.95M,3.86%
11/14/2022,73.53,75.22,75.25,72.67,108.89M,1.60%
11/11/2022,72.37,69.58,73.32,68.29,111.71M,5.70%
11/10/2022,68.47,64.3,68.8,63.62,108.00M,14.27%
11/9/2022,59.92,62.28,63.05,59.8,62.94M,-6.16%
11/8/2022,63.85,64.09,64.96,62.37,75.94M,1.22%
11/7/2022,63.08,62.93,63.53,61.4,62.72M,1.43%
11/4/2022,62.19,62.5,63,60.53,84.79M,3.46%
11/3/2022,60.11,58.11,62.28,58.03,95.28M,2.52%
11/2/2022,58.63,63,63.93,58.57,142.67M,-1.73%
11/1/2022,59.66,61.49,61.99,59.42,83.81M,-0.67%
10/31/2022,60.06,60.75,61.86,59.53,73.27M,-3.14%
10/28/2022,62.01,59.1,62.35,58.92,78.20M,5.82%
10/27/2022,58.6,61.6,62.72,58.51,83.87M,-1.89%
10/26/2022,59.73,59.69,61.77,59.15,79.92M,-2.83%
10/25/2022,61.47,58.76,61.97,58.69,85.50M,4.72%
10/24/2022,58.7,58.57,59,56.66,76.31M,-0.20%
10/21/2022,58.82,57.22,58.91,55.71,95.37M,1.82%
10/20/2022,57.77,57.47,60.2,57.4,79.55M,0.94%
10/19/2022,57.23,57.33,59.04,56.57,75.71M,-1.19%
10/18/2022,57.92,59.91,60.49,56.4,103.07M,-0.07%
10/17/2022,57.96,57.35,58.51,57.1,76.98M,3.61%
10/14/2022,55.94,59.6,59.94,55.83,96.96M,-5.09%
10/13/2022,58.94,55.52,60.14,54.57,131.16M,1.88%
10/12/2022,57.85,57.45,58.32,56.32,89.26M,0.38%
10/11/2022,57.63,57.21,58.92,56.05,114.06M,-0.31%
10/10/2022,57.81,57.31,58.79,56.3,112.24M,-1.08%
10/7/2022,58.44,64.01,64.03,58.22,163.79M,-13.87%
10/6/2022,67.85,67.82,70.29,67.66,98.33M,-0.13%
10/5/2022,67.94,66.59,68.69,64.51,87.13M,0.06%
10/4/2022,67.9,68.27,69.18,67.33,77.16M,2.71%
10/3/2022,66.11,64.46,66.91,63.39,83.84M,4.34%
9/30/2022,63.36,63.62,65.91,63.34,81.66M,-1.22%
9/29/2022,64.14,67.15,67.2,62.83,102.55M,-6.17%
9/28/2022,68.36,67.11,68.8,66.56,72.39M,1.77%
9/27/2022,67.17,67.9,68.78,66,94.87M,1.31%
9/26/2022,66.3,67.87,68.74,66.25,82.90M,-2.44%
9/23/2022,67.96,68,69.08,66.82,87.69M,-2.22%
9/22/2022,69.5,73.89,74.29,69.17,101.44M,-6.69%
9/21/2022,74.48,75.43,78.41,74.45,82.07M,-1.02%
9/20/2022,75.25,76.08,76.58,74.73,51.13M,-1.98%
9/19/2022,76.77,75.39,77.34,75.35,64.97M,0.34%
9/16/2022,76.51,75.62,76.82,74.68,75.30M,-0.20%
9/15/2022,76.66,76.64,77.97,74.9,81.82M,-1.02%
9/14/2022,77.45,77.1,78.08,75.87,71.48M,0.55%
9/13/2022,77.03,80.96,81.47,76.8,80.92M,-8.99%
9/12/2022,84.64,84.89,85.35,83.46,71.92M,-0.95%
9/9/2022,85.45,84.03,85.68,83.84,68.94M,3.23%
9/8/2022,82.78,80.03,83.45,79.24,89.09M,3.98%
9/7/2022,79.61,79.24,80.25,77.74,67.89M,1.13%
9/6/2022,78.72,80.41,80.89,78.37,68.73M,-1.89%
9/2/2022,80.24,83.32,83.65,79.81,84.92M,-2.54%
9/1/2022,82.33,82.35,82.75,78.52,94.86M,-2.99%
8/31/2022,84.87,86.28,86.72,83.72,64.99M,-2.38%
8/30/2022,86.94,90.06,90.15,85.34,69.09M,-1.75%
8/29/2022,88.49,90.05,91.19,88.26,61.14M,-2.95%
8/26/2022,91.18,96.29,97.6,91.12,65.55M,-6.17%
8/25/2022,97.18,93.14,97.57,93.14,61.02M,4.80%
8/24/2022,92.73,92.21,93.38,90.9,56.52M,0.26%
8/23/2022,92.49,92.39,94.44,92.11,52.59M,-0.38%
8/22/2022,92.84,94.4,95.02,92.36,61.84M,-3.24%
8/19/2022,95.95,98.67,99.25,94.59,67.22M,-4.47%
8/18/2022,100.44,97.74,101.07,96.73,76.06M,2.21%
8/17/2022,98.27,99.26,99.64,96.72,63.74M,-1.93%
8/16/2022,100.2,100.84,101.45,98.32,60.22M,-0.80%
8/15/2022,101.01,100.5,101.85,99.8,61.33M,0.18%
8/12/2022,100.83,99.2,101.4,98.48,72.32M,2.76%
8/11/2022,98.12,99.93,102.37,98,77.52M,-0.94%
8/10/2022,99.05,98.45,99.35,95.61,83.42M,3.67%
8/9/2022,95.54,97.95,98.05,93.67,89.47M,-4.53%
8/8/2022,100.07,100.06,101.8,97.99,92.69M,-2.19%
8/5/2022,102.31,101.05,103.86,100.98,93.86M,-1.54%
8/4/2022,103.91,97.5,104.59,97.26,125.86M,5.93%
8/3/2022,98.09,94.83,98.77,93.62,131.14M,-1.21%
8/2/2022,99.29,95.71,100.92,95.36,116.73M,2.59%
